,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7511825922421949,0.5215311004784688,0.7758007117437722,0.6237482117310443,0.8442051583079576
Random Forest,0.771050141911069,0.5933014354066986,0.4412811387900356,0.5061224489795918,0.8033922478629344
